cat_id ra dec g_Swope_flux g_Swope_fluxerr g_PS gerr_PS r_PS rerr_PS i_PS ierr_PS
1.0 88.160948 15.818543 15856.468 110.42710312442 15.8388 0.0007 15.377 0.0017 15.1861 0.0033
1.0 88.007487 15.819873 16539.968 125.44727471026 15.8243 0.0051 15.4304 0.0014 15.2527 0.0019
1.0 88.004952 15.820662 8036.441 98.05453803188 16.578 0.0034 16.1171 0.0019 15.9163 0.0063
1.0 88.183088 15.81944 6256.403 112.13337635185 16.7542 0.005 15.9597 0.003 15.5953 0.0046
1.0 88.073008 15.821922 27341.969 108.8801634568 15.2562 0.0011 14.8071 0.0024 14.6262 0.0027
1.0 88.248051 15.824055 5959.511 104.13079015939 16.8906 0.0023 16.5742 0.0023 16.4559 0.0025
1.0 88.181717 15.829335 12794.047 107.74910172507 16.0659 0.0026 15.565 0.0023 15.3631 0.0084
1.0 88.068586 15.830239 9080.4 116.06671202129 16.4522 0.0021 16.0968 0.001 15.9901 0.0042
1.0 88.21704 15.831492 8361.06 121.17592869931 16.5573 0.0066 16.2599 0.0027 16.1583 0.0094
1.0 88.175077 15.83219 7305.705 109.18068399207 16.7115 0.0001 16.2122 0.0023 15.9832 0.0094
1.0 88.105667 15.836062 14262.866 114.437935826 15.9091 0.002 15.3127 0.0023 15.0886 0.0018
1.0 88.079474 15.839572 27903.157 117.7761430112 15.2284 0.0032 14.9382 0.0016 14.8419 0.0046
1.0 88.012128 15.838168 8122.324 110.17470394742 16.5612 0.0033 16.1362 0.0031 15.9615 0.0031
1.0 88.122453 15.843329 38456.812 115.62998013731 14.8346 0.0014 14.0892 0.0023 13.7281 0.001
1.0 88.068057 15.843815 15015.599 134.3392342542 15.8854 0.0025 15.5543 0.0026 15.4286 0.0033
1.0 88.036117 15.844366 17645.682 106.11688222355 15.7112 0.0032 15.2541 0.0019 15.0558 0.006
1.0 88.132 15.848874 8426.661 103.33208407738 16.4299 0.0014 15.437 0.002 14.9902 0.0031
1.0 88.027491 15.851003 8862.245 147.59447281076 16.4612 0.003 15.7798 0.003 15.4544 0.0104
1.0 88.225729 15.853785 38578.624 97.134424745378 14.8486 0.0014 14.375 0.0043 14.1722 0.0033
1.0 88.071743 15.855371 20636.493 105.70789807933 15.5479 0.0016 15.0311 0.0022 14.8009 0.0026
1.0 88.075604 15.857801 52590.304 121.86635901108 14.557 0.0288 13.9314 0.0015 13.7397 0.001
1.0 88.166485 15.857454 11317.331 103.38265581154 16.224 0.0009 16.0141 0.0028 15.9396 0.0023
1.0 88.020656 15.860502 55570.551 190.45025566481 14.5222 0.0024 14.3103 0.008 14.1962 0.002
1.0 88.020913 15.862689 39633.814 136.77857553928 14.8609 0.001 14.4902 0.0014 14.346 0.0076
1.0 88.108419 15.859368 8991.79 117.85838722086 16.473 0.0038 15.8907 0.0018 15.6329 0.0022
1.0 88.034398 15.859377 14259.727 117.87279177136 15.9306 0.0019 15.4368 0.0022 15.2333 0.0027
1.0 88.032083 15.859365 6613.439 117.9906996494 16.7764 0.0036 16.3722 0.003 16.2203 0.0035
1.0 88.196351 15.860387 21074.163 120.42759129191 15.5011 0.0055 15.056 0.002 14.8751 0.0037
